Year,Fort Chip DDF,Fort Verm DDF,Fort Smith,GP-BL Precip pct Avg,BL Precip,Freezeup,Melt Test,Hudsons Hope prev. Nov. Flow,Hudsons Hope prev. Dec. Flow,Peace River prev. Nov. Flow,Peace River prev. Dec. Flow,Flood
1915,-2332.099254,-2542,-2925.95,0.503153004,75.8,,25,,,,,0
1916,-2951.221258,-3179.5,-3435.978101,0.432127448,65.1,,16,,,,,0
1917,-3127.35,-3277.7,-3800,0.839030866,126.4,,18,,,,,0
1918,-3190.05,-3451.75,-3670.649771,1.184865582,178.5,,16,,,,,0
1919,-2637.8,-3000.25,-3166.6,1.383338865,208.4,,19,,,,,0
1920,-2965.95,-3404.9,-3340.2,2.288084965,344.7,,17,,,,,1
1921,-2667.1,-3075.9,-3121.15,0.779953535,117.5,,21,,,,,0
1922,-2877,-2920.1,-3390.8,1.008297378,151.9,,16,,,,,0
1923,-3194.85,-3125,-3615.65,0.744772652,112.2,,17,,,,,0
1924,-2712.9,-2629.5,-2955.5,0.621307667,93.6,,12,,,,,0
1925,-3178.55,-3078.35,-3601.9,1.334218387,201,,24,,,,,0
1926,-2493.65,-2266.85,-2932.6,1.231330899,185.5,,29,,,,,0
1927,-2618.75,-2644.85,-3170.9,1.202787919,181.2,,18,,,,,0
1928,-2748.4,-2857.9,-3537.95,1.391968138,209.7,,26,,,,,0
1929,-2618.95,-2538.9,,1.074012612,161.8,,16,,,,,0
1930,-2389.45,-2489.55,-2949.65,0.716893462,108,,24,,,,,0
1931,-2126.85,-2071.15,-2417.95,0.550945901,83,,18,,,,,0
1932,-2840.45,-2805.15,-3014.5,1.400597411,211,,22,,,,,1
1933,-3404.65,-3372.9,-3607.25,1.385330236,208.7,,16,,,,,1
1934,-3254.1,-3266.85,-3519.162118,2.011284434,303,,14,,,,,1
1935,-2988.85,-3086.7,-3240.8,1.581812147,238.3,,20,,,,,0
1936,-3520.45,-3554.85,-3967.7,1.240623963,186.9,,19,,,,,0
1937,-2676.85,-2575.65,-2908.5,0.845004978,127.3,,21,,,,,0
1939,-2952.65,-2711.15,-3194.912727,1.509459011,227.4,,14,,,,,0
1940,-2169.8,-2084.8,-2507.242715,1.241287753,187,,17,,,,,0
1941,-2569.23807,-2554.85,-2706.95,0.963159642,145.1,,18,,,,,0
1943,-2889.80275,-2847.55,-3037.175,1.055426485,169.6,,14,,,,,1
1944,-2089.463543,-1873.25,-2228.9,0.514437438,94.9,,17,,,,,0
1945,-2512.831116,-2182.7,-2659.4,1.093262529,198.3,,15,,,,,0
1946,-3031.503241,-2841,-3162.627273,0.788582808,146.7,,14,,,,,0
1947,-3454.277819,-3116.7,-3611.675,1.675406572,244.7,,13,,,,,0
1948,-3111,,-3111,1.541984733,228.6,,12,,,,,1
1949,-2834.174916,-2711.5,-2970.2,1.025555924,151.9,,17,,,,,0
1950,-3282.908397,-2978.1,-3437.8,0.990375041,125.4,,12,,,,,0
1951,-3189.731981,-3056,-3341.75,1.349485563,234.8,,11,,,,,1
1952,-3305.561327,-3147.325,-3457.25,1.706604713,196.2,,18,,,,,0
1953,-2406.694639,-2012.3,-2550.55,0.957185529,157.5,,13,,,,,0
1954,-3129.143344,-2752.95,-3275.75,1.189512114,172.7,,11,,,,,0
1955,-2738.780995,-2420.85,-2879.6,0.749419184,110.9,,31,,,,,0
1956,-3273.651787,-3093.95,-3423.35,1.447726518,188.5,,24,,,,,0
1957,-3081.024315,-2600.95,-3234.1,1.113840027,177.9,,12,,,,,0
1958,-2490.258737,-2235.95,-2642.35,1.143046797,139.1,,21,,,,,1
1959,-2822.472413,-2452.75,-2961.15,1.2041155,174.2,,34,,,,,0
1960,-2702.392159,-2363.05,-2861.75,0.642548955,99,,21,,,,,0
1961,-2967.478109,-2412.6,-3119.1,0.818453369,114.4,,29,,,,,0
1962,-3437.919577,-2983.25,-3597.75,1.323597743,170.6,212.6,17,592,239,887,367,0
1963,-2807.05,-2384.7,-3130.05,1.597743113,231.6,213.32,17,1040,493,1540,564,1
1964,-2745.25,-2520.85,-3222.5,0.976435446,160.7,210.76,19,482,380,727,513,0
1965,-3043.4,-2846.5,-3416.75,1.212744773,197.1,212.16,16,787,354,1150,436,1
1966,-2907.2,-2767,-3336.8,1.350813143,207.1,214.92,15,644,278,1080,525,0
1967,-3208.8,-3056.65,-3604.95,1.129107202,226.5,212.83,15,551,358,825,555,0
1968,-2464.3,-2153.05,-2700.25,1.084910238,143.4,211.99,17,579,248,746,406,0
1969,-2921.85,-2792.325,-3009.35,0.977348758,150.1,211.59,17,254,315,540,371,0
1970,-2659.15,-2161.35,-2709.95,0.768865395,130.7,213.21,22,766,768,1080,990,0
1971,-3003.4,-2663.25,-3120.75,1.068311244,189.2,212.42,12,869,1000,940,1100,0
1972,-3350.8,-3034.8,-3539.15,1.269166943,200.5,213.01,14,906,994,1160,1150,1
1973,-2624.45,-2337.85,-2886.85,0.981081978,151,213.46,22,1270,1390,1540,1480,0
1974,-3304.65,-2904.15,-3368.4,1.496183206,217.3,212.71,18,1210,982,1400,1120,1
1975,-2567.25,-2236.65,-2766.2,0.811815466,140.8,213.17,15,1470,1460,1640,1630,0
1976,-2911.65,-2569.15,-3167.95,1.248589446,196.9,213.52,19,1100,1100,1340,1250,0
1977,-2358.5,-1680.35,-2501.8,0.68436774,98.5,214.8,18,1630,1640,1880,1800,0
1978,-2752,-2499.2,-2868.45,0.606704281,91.7,214.06,20,1480,1660,1870,1910,0
1979,-3295.55,-2850.25,-3483.75,0.728177896,158.6,213.33,19,1010,1540,1470,1790,0
1980,-2121.174705,-1855.75,,0.610687023,106.5,212.86,11,1360,994,1450,1060,0
1981,-2282.92442,-1958.5,-2427.05,0.806505144,143.4,212.13,14,1160,901,1510,1070,0
1982,-3212.9,-2762.75,-3325.85,1.183538002,193.5,212.48,17,1580,1490,1790,1650,0
1983,-2830,-2483.5,-3063.6,0.771988052,132.5,213.24,16,1460,1460,1640,1640,0
1984,-2370.5,-2083.3,-2546.15,0.606040491,91.6,212.92,19,1060,1340,1410,1520,0
1985,-3020.05,-2633.55,-3249.25,0.870229008,150.5,215.16,24,1430,1560,1850,1940,0
1986,-2657.25,-2320.3,-2879,0.969797544,196.6,214.09,32,1660,1740,1890,1910,0
1987,-2136,-2060.55,-2360.25,0.615997345,127.8,213.38,20,1270,1260,1460,1470,0
1988,-2311.75,-1886.85,-2413.05,0.681712579,100.8,214.79,19,1440,1780,1760,1920,0
1989,-2897.25,-2559.6,-3062.5,0.747427813,102.7,214.5,17,1570,1100,1680,1210,0
1990,-2930.5,-2529.25,-3064.75,0.753401925,110.7,213.08,29,833,1190,1180,1340,0
1991,-2969.75,-2555.2,-3146.45,1.036840358,157.8,214.23,15,1440,1670,1630,1810,0
1992,-2618.4,-2124.65,-2852.25,1.152339861,185.4,215.21,30,1590,1680,1810,1880,0
1993,-2058.75,-1829.75,,0.797212081,113.6,214.72,22,1640,1830,1890,1970,0
1994,-2808.471151,-2579.471151,-2945.796587,1.179555261,158.3,213.57,17,1680,1860,1930,2040,0
1995,-2425.350077,-2263.3,-2528.2,0.909392632,161.7,214.42,18,1600,1660,1850,1870,0
1996,-3115.95,-2970.4,-3125.05,1.356123465,207.5,212.38,16,1190,1620,1340,1710,1
1997,-2904.55,-2697.7,-2940.975,1.198805178,169.6,214.22,16,1320,1460,1670,1880,1
1998,-2018.35,-1852.8,-2090.8,0.513109857,78.1,215.92,19,1740,1860,2280,2120,0
1999,-2080.65,-1922.15,-2032.1,0.906073681,142.6,214.62,15,1660,1750,1950,2080,0
2000,-2217.9,-1840.6,-2233.25,0.733488218,110.5,213.12,26,859,1410,954,1580,0
2001,-2368.2,-1994.2,-2405,0.428144706,67.5,215.22,19,1660,1580,1970,2010,0
2002,-2805.75,-2410.65,-2913.05,0.95784932,148.3,214.19,19,1370,1840,1600,2040,0
2003,-2720.25,-2107.85,-2714.5,1.174244939,173.9,215.22,22,1580,1580,1800,1730,0
2004,-2580,-2175.95,-2625.85,0.756057086,97.3,214.62,23,1300,1590,1420,1650,0
2005,-2612.4,-2211.05,-2667.2,0.915366744,119.8,214.12,21,1140,1420,1690,1780,0
2006,-1615.178908,-1503.65,-1691.85,0.360438102,70.5,215.12,19,1390,1670,1710,1930,0
2007,-2569.383829,-2340.55,-2622.15,1.376037172,181.6,213.62,15,1200,1550,1270,1710,0
2008,-2881.4,-2179.2,-2891.2,0.49385994,74,214.63,21,1530,1750,1860,1960,0
2009,-2751.318865,-2335.85,-2819.55,0.941918354,140.7,214.06,20,1300,1630,1490,1780,0
2010,-1914.528831,-1848.85,-2073.8,0.663790242,79.2,213.65,13,1260,1610,1390,1690,0
2011,-2611.8,-2338.5,-2748.65,1.193494856,180.4,213.61,15,971,1340,1200,1760,0
2012,-2083.303022,-1786.55,-2267.95,0.765350149,108.9,214.47,22,1350,1540,1590,1830,0
2013,-2951.55,-2586.45,-3052.85,1.146365748,149.2,213.42,13,1140,1200,1400,1540,0
2014,-3290.4,-2541,-3309.85,1.540657152,232.1,213.64,21,1190,1420,1430,1670,1
2015,-2599.8,-2118.45,-2730.491445,1.630268835,246.2,212.99,23,981,1280,1170,1550,0
2016,-2086.75,-1671.05,-2202.734928,0.770660471,122.9,213.88,16,1360,1540,1530,1680,0
2017,-2140.873813,-1981.25,-2335.624161,0.813143047,136.9,215.33,29,1360,1710,2220,2010,0
2018,-2807.264763,-2448.65,-2854.918038,1.350149353,203.4,214.71,11,1470,1600,,,0
2019,-2429.2,-2257.95,,0.984400929,148.3,213.4,29,1170,1180,,,0
2020,-2564,-2420,,0.9956854,150,214.9,13,1630,1720,,,0
